site_uid,river_name,evidence
bemp:24-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:25-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:26-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:27-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:28-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:29-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:30-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:31-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:32-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
ibwc:08365000,Rio Grande,"IBWC gauge name ""RG BELOW AMERICAN DAM""; USGS does not publish coordinates for it"
ibwc:08371500,Rio Grande,"IBWC gauge name ""RG ABOVE RIO CONCHOS""; USGS does not publish coordinates for it"
ibwc:08374200,Rio Grande,"IBWC gauge name ""RG BELOW RIO CONCHOS""; USGS does not publish coordinates for it"
ibwc:08375000,Rio Grande,"IBWC gauge name ""RG AT JOHNSON RANCH""; USGS does not publish coordinates for it"
ibwc:08377200,Rio Grande,"IBWC gauge name ""RG AT FOSTER RANCH""; USGS does not publish coordinates for it"
ibwc:08447410,Pecos River,"IBWC gauge name ""PECOS NEAR LANGTRY""; USGS does not publish coordinates for it"
ibwc:08449400,Devils River,"IBWC gauge name ""DEVILS AT PAFFORD""; USGS does not publish coordinates for it"
ibwc:08451800,Rio Grande,"IBWC gauge name ""RG AT DEL RIO""; USGS does not publish coordinates for it"
ibwc:08458000,Rio Grande,"IBWC gauge name ""RG AT EAGLE PASS""; USGS does not publish coordinates for it"
ibwc:08458700,Rio Grande,"IBWC gauge name ""RG NEAR EL INDIO""; USGS does not publish coordinates for it"
ibwc:08458800,Rio Grande,"IBWC gauge name ""RG AT COLOMBIA""; USGS does not publish coordinates for it"
ibwc:08459000,Rio Grande,"IBWC gauge name ""RG AT LAREDO""; USGS does not publish coordinates for it"
ibwc:08464700,Rio Grande,"IBWC gauge name ""RG AT RIO GRANDE CTY""; USGS does not publish coordinates for it"
ibwc:08469200,Rio Grande,"IBWC gauge name ""RG BL ANZALDUAS DAM""; USGS does not publish coordinates for it"
ibwc:08473700,Rio Grande,"IBWC gauge name ""RG AT SAN BENITO""; USGS does not publish coordinates for it"
ibwc:08475000,Rio Grande,"IBWC gauge name ""RG AT BROWNSVILLE""; USGS does not publish coordinates for it"
